,종목코드,종목명,fullCode
549,A012750,에스원,KR7012750006
550,A012760,동아,KR7012760005
551,A012790,신일제약,KR7012790002
552,A012800,대창,KR7012800009
553,A012860,모베이스전자,KR7012860003
554,A013000,세우글로벌,KR7013000005
555,A013030,하이록코리아,KR7013030002
556,A013120,동원개발,KR7013120001
557,A013310,아진산업,KR7013310008
558,A013360,일성건설,KR7013360003
559,A013520,화승코퍼레이션,KR7013520002
560,A013570,디와이,KR7013570007
561,A013580,계룡건설,KR7013580006
562,A013700,까뮤이앤씨,KR7013700000
563,A013720,CBI,KR7013720008
564,A013810,스페코,KR7013810007
565,A013870,지엠비코리아,KR7013870001
566,A013890,지누스,KR7013890009
567,A013900,두원중공업,KR7013900006
568,A013990,아가방컴퍼니,KR7013990007
569,A014100,메디앙스,KR7014100002
570,A014130,한익스프레스,KR7014130009
571,A014160,대영포장,KR7014160006
572,A014190,원익큐브,KR7014190003
573,A014200,광림,KR7014200000
574,A014280,금강공업,KR7014280002
575,A014285,금강공업우,KR7014281000
576,A014440,영보화학,KR7014440002
577,A014470,부방,KR7014470009
578,A014530,극동유화,KR7014530000
579,A014570,고려제약,KR7014570006
580,A014580,태경비케이,KR7014580005
581,A014620,성광벤드,KR7014620009
582,A014680,한솔케미칼,KR7014680003
583,A014710,사조씨푸드,KR7014710008
584,A014790,HL D&I,KR7014790000
585,A014820,동원시스템즈,KR7014820005
586,A014825,동원시스템즈우,KR7014821003
587,A014830,유니드,KR7014830004
588,A014910,성문전자,KR7014910004
589,A014915,성문전자우,KR7014911002
590,A014940,오리엔탈정공,KR7014940001
591,A014970,삼륭물산,KR7014970008
592,A014990,인디에프,KR7014990006
593,A015020,이스타코,KR7015020001
594,A015150,다산,KR7015150006
595,A015200,성원,KR7015200009
596,A015230,대창단조,KR7015230006
597,A015260,에이엔피,KR7015260003
598,A015360,예스코홀딩스,KR7015360001
599,A015540,쎌마테라퓨틱스,KR7015540008
600,A015590,큐로,KR7015590003
601,A015710,코콤,KR7015710007
602,A015750,성우하이텍,KR7015750003
603,A015760,한국전력,KR7015760002
604,A015860,일진홀딩스,KR7015860000
605,A015890,태경산업,KR7015890007
606,A016090,대현,KR7016090003
607,A016100,리더스코스메틱,KR7016100000
608,A016250,SGC이테크건설,KR7016250003
609,A016360,삼성증권,KR7016360000
610,A016380,KG스틸,KR7016380008
611,A016450,한세예스24홀딩스,KR7016450009
612,A016580,환인제약,KR7016580003
613,A016590,신대양제지,KR7016590002
614,A016600,큐캐피탈,KR7016600009
615,A016610,DB금융투자,KR7016610008
616,A016670,디모아,KR7016670002
617,A016710,대성홀딩스,KR7016710006
618,A016740,두올,KR7016740003
619,A016790,카나리아바이오,KR7016790008
620,A016800,퍼시스,KR7016800005
621,A016880,웅진,KR7016880007
622,A016920,카스,KR7016920001
623,A017000,신원종합개발,KR7017000001
624,A017040,광명전기,KR7017040007
625,A017180,명문제약,KR7017180001
626,A017250,인터엠,KR7017250002
627,A017370,우신시스템,KR7017370008
628,A017390,서울가스,KR7017390006
629,A017480,삼현철강,KR7017480005
630,A017510,세명전기,KR7017510009
631,A017550,수산중공업,KR7017550005
632,A017650,대림제지,KR7017650003
633,A017670,SK텔레콤,KR7017670001
634,A017800,현대엘리베이,KR7017800004
635,A017810,풀무원,KR7017810003
636,A017890,한국알콜,KR7017890005
637,A017900,광전자,KR7017900002
638,A017940,E1,KR7017940008
